[latex]What is logically equivalent to $p \rightarrow q$[/latex]	"<span style=""font-family: 'Nimbus Sans L'"">[latex]$\neg p \vee q$[/latex]</span>"	
What's De Morgan's law	[latex]$\neg (p\wedge q) \equiv \neg p \vee \neg q$ &nbsp;\\<div>$\neg (p \vee q) \equiv \neg p \wedge \neg q$[/latex]</div>	
What is a predicate ?	"A ""formula that involves some variables, variables which come from a domain."	
What are the two quantifiers ?	"[latex]$\forall$ which means ""for all"" \&amp; $\exists$ which means ""there exists""[/latex]"	
Give the rules of negation of quantifiers.	[latex]$\neg (\forall x P(x)) \equiv \exists x \neg P(x)$ \\<div>$\neg (\exists x P(x) \equiv \forall \neg P(x)$[/latex]</div>	
"What does modus ponens implies ? (Rule of inference in propositional logic)<div><br /><div><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;</span><div style=""font-family: Arial;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&amp; $p$ \\</div><div style=""font-family: Arial;"">&amp; $p \to q$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ ??? \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div></div>"	[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&amp; $p$ \\</div><div>&amp; $p \to q$ \\\cline{2-2}</div><div>&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; $q$ \\</div>&nbsp; \end{tabular}[/latex]	
"What does modus tollens implies ? (Rule of inference in propositional logic)<div><br><div><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;</span><div style=""font-family: Arial;"">&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&amp; $\neg p$ \\</div><div style=""font-family: Arial;"">&amp; $p \to q$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ ??? \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div></div>"	[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&amp; $\neg p$ \\</div><div>&amp; $p \to q$ \\\cline{2-2}</div><div>&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; $q$ \\</div>&nbsp; \end{tabular}[/latex]	
"What does simplification implies ? (Rule of inference in propositional logic)<div><br /></div><div><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;</span><div style=""font-family: Arial;"">&amp; $p \wedge q$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ ??? \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div>"	[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;<div>&nbsp;</div><div>&amp; $p \wedge q$ \\\cline{2-2}</div><div>&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ p \\</div>&nbsp; \end{tabular}[/latex]	
"What does addition rule implies ? (Rule of inference in propositional logic)<div><br /></div><div><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;</span><div style=""font-family: Arial;"">&amp; $p$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ ??? \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div>"	[latex] \begin{tabular}{c@{\,}l@{}}&nbsp;<div>&amp; $p$ \\\cline{2-2}</div><div>&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ $p \vee q$ \\</div>&nbsp; \end{tabular}[/latex]	
"What does conjonction implies ? (Rule of inference in propositional logic)<div><br /></div><div><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}</span></div><div><font face=""Arial"">&amp; $p$ \\<br /></font><div style=""font-family: Arial;"">&amp; $q$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ ??? \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div>"	"<div style=""font-family: 'Nimbus Sans L';""><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}</span></div><div style=""font-family: 'Nimbus Sans L';""><font face=""Arial"">&amp; $p$ \\<br /></font><div style=""font-family: Arial;"">&amp; $q$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ $p \wedge q$ \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div>"	
"What does the hypotetical syllogism implies ? (Rule of inference in propositional logic)<div><br /></div><div><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}</span></div><div><font face=""Arial"">&amp; $p \to q$ \\<br /></font><div style=""font-family: Arial;"">&amp; $q \to r$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ ??? \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div>"	"<div style=""font-family: 'Nimbus Sans L';""><span style=""font-family: Arial"">[latex] \begin{tabular}{c@{\,}l@{}}</span></div><div style=""font-family: 'Nimbus Sans L';""><font face=""Arial"">&amp; $p \to q$ \\<br /></font><div style=""font-family: Arial;"">&amp; $q \to r$ \\\cline{2-2}</div><div style=""font-family: Arial;"">&nbsp; &nbsp; $\therefore$ &nbsp; &nbsp; &nbsp; &nbsp; &amp; \ $p \to r$ \\</div><span style=""font-family: Arial;"">&nbsp; \end{tabular}[/latex]</span></div>"	
